A1,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4
55:57.5,-0.1,0.22,9.51,0,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.12,0.23,9.51,0.1875,0,0,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.1,0.25,9.5,0.0625,0,0,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.1,0.22,9.48,0,-0.0625,0.1875,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.1,0.24,9.5,-0.0625,-0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.11,0.23,9.5,0,0,0.125,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.1,0.24,9.51,0.1875,0,0.125,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.11,0.22,9.5,0.1875,-0.1875,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.09,0.22,9.47,0,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.11,0.22,9.49,0.125,-0.0625,0.125,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.11,0.24,9.49,0,0,0,-0.009,0.9999,0.0125,0.0054
55:57.5,-0.11,0.25,9.5,0.1875,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.11,0.24,9.49,0.125,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.09,0.22,9.51,0,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.11,0.24,9.5,0,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.11,0.24,9.5,-0.125,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.09,0.21,9.52,0,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.11,0.24,9.49,-0.0625,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.1,0.24,9.49,0,0,0,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.12,0.24,9.52,0.0625,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.12,0.22,9.49,0.0625,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.6,-0.09,0.22,9.5,0.125,-0.0625,0.1875,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.22,9.46,0.0625,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.24,9.49,0,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.24,9.5,0,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.23,9.52,0.0625,-0.1875,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.23,9.52,-0.0625,-0.125,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.11,0.24,9.5,-0.125,0.1875,0,-0.009,0.9999,0.0125,0.0054
55:57.7,-0.1,0.24,9.5,-0.0625,-0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.25,9.48,0.1875,-0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.11,0.23,9.48,0.0625,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.11,0.24,9.51,0,-0.1875,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.09,0.25,9.49,0,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.21,9.48,0,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.25,9.5,0,0.0625,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.23,9.52,0,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.12,0.22,9.51,0.0625,0.125,0.125,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.23,9.48,-0.125,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.12,0.22,9.5,0,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.08,0.25,9.5,0.0625,0,0,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.09,0.21,9.52,0,0.0625,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.8,-0.1,0.23,9.47,-0.1875,0.1875,0,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.12,0.22,9.5,0.0625,0.0625,0.125,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.1,0.24,9.5,0.125,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.09,0.23,9.53,0.0625,-0.125,0.125,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.11,0.24,9.52,0.125,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.09,0.23,9.5,-0.0625,0.0625,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.11,0.23,9.46,-0.0625,0.125,-0.0625,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.11,0.24,9.5,0.0625,0.0625,-0.125,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.1,0.25,9.51,-0.0625,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:57.9,-0.11,0.22,9.5,0.125,0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.13,0.22,9.49,0.125,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.1,0.25,9.47,-0.0625,0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.11,0.25,9.47,-0.0625,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.1,0.22,9.45,0.0625,-0.0625,0.125,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.12,0.22,9.5,0.0625,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.1,0.24,9.52,0.0625,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.11,0.24,9.47,0,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.0,-0.1,0.24,9.5,0,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.13,0.22,9.5,-0.0625,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.12,0.22,9.51,-0.125,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.11,0.22,9.51,0.0625,0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.11,0.22,9.49,0.0625,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.09,0.23,9.49,0,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.11,0.24,9.51,-0.0625,0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.09,0.24,9.48,0.125,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.1,0.23,9.51,0.125,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.09,0.26,9.48,0.125,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.1,0.24,9.5,0.0625,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.11,0.22,9.5,0.125,-0.0625,0.125,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.1,0.24,9.5,0.0625,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.1,-0.11,0.24,9.48,0,-0.25,0.1875,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.09,0.25,9.5,0.125,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.1,0.23,9.5,-0.125,0,0.125,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.09,0.26,9.51,0,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.09,0.22,9.49,0,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.09,0.23,9.5,0.0625,-0.1875,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.1,0.22,9.5,0,0,0,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.11,0.25,9.49,0.0625,-0.125,0.125,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.11,0.23,9.5,0.0625,0,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.09,0.23,9.5,0,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.2,-0.11,0.23,9.5,0,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.11,0.23,9.49,-0.125,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.11,0.24,9.5,0.0625,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.1,0.24,9.51,-0.125,0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.11,0.24,9.5,-0.0625,0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.12,0.23,9.51,-0.0625,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.3,-0.09,0.21,9.49,0.0625,0,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.11,0.25,9.52,0.125,0,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.09,0.23,9.51,0.0625,0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.11,0.22,9.48,0.25,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.1,0.25,9.49,-0.0625,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.09,0.23,9.48,0.0625,0,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.09,0.26,9.48,-0.125,-0.0625,-0.125,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.09,0.22,9.5,-0.0625,0,-0.0625,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.1,0.24,9.51,0,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.12,0.25,9.51,0,0,-0.125,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.09,0.23,9.48,0,-0.1875,0.0625,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.11,0.25,9.51,0,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.1,0.23,9.5,0.0625,0.125,0,-0.009,0.9999,0.0125,0.0054
55:58.4,-0.1,0.23,9.5,0,0.125,-0.125,-0.009,0.9999,0.0125,0.0054
